Address  9 BitCode  Action   Constant      Comment
     0:  011111111  constant 255           # 255
     1:  101000000  source   320           # 0
     2:  110000000  target   384           # 0
     3:  111001010  exec     458           # ldrc
     4:  000000010  constant 2             # 2
     5:  101000000  source   320           # 0
     6:  110000000  target   384           # 0
     7:  111001001  exec     457           # label
     8:  000000000  constant 0             # 0
     9:  101000000  source   320           # 0
    10:  110000001  target   385           # 1
    11:  111001101  exec     461           # ldrr
    12:  000001111  constant 15            # 15
    13:  101000001  source   321           # 1
    14:  110000000  target   384           # 0
    15:  111010000  exec     464           # sl
    16:  000001111  constant 15            # 15
    17:  101000001  source   321           # 1
    18:  110000000  target   384           # 0
    19:  111010001  exec     465           # sr
    20:  000000100  constant 4             # 4
    21:  101000001  source   321           # 1
    22:  110000000  target   384           # 0
    23:  111001000  exec     456           # jumpIfZero
    24:  000000000  constant 0             # 0
    25:  101000000  source   320           # 0
    26:  110000000  target   384           # 0
    27:  111010011  exec     467           # stri
    28:  000000010  constant 2             # 2
    29:  101000000  source   320           # 0
    30:  110000000  target   384           # 0
    31:  111001001  exec     457           # label
    32:  000000000  constant 0             # 0
    33:  101000000  source   320           # 0
    34:  110000000  target   384           # 0
    35:  111000101  exec     453           # dec
    36:  000000001  constant 1             # 1
    37:  101000000  source   320           # 0
    38:  110000000  target   384           # 0
    39:  111000111  exec     455           # jumpIfNotZero
    40:  000000000  constant 0             # 0
    41:  101000000  source   320           # 0
    42:  110000000  target   384           # 0
    43:  111010110  exec     470           # stop
