Address  9 BitCode  Action   Constant      Comment
     0:  000000001  constant 1             # 1
     1:  101001110  source   334           # 14
     2:  110000000  target   384           # 0
     3:  111001010  exec     458           # ldrc
     4:  000000010  constant 2             # 2
     5:  101001111  source   335           # 15
     6:  110000000  target   384           # 0
     7:  111001010  exec     458           # ldrc
     8:  000000000  constant 0             # 0
     9:  101001111  source   335           # 15
    10:  110001110  target   398           # 14
    11:  111000000  exec     448           # add
    12:  000000000  constant 0             # 0
    13:  101001110  source   334           # 14
    14:  110000000  target   384           # 0
    15:  111010010  exec     466           # strd
    16:  000010101  constant 21            # 21
    17:  101001111  source   335           # 15
    18:  110000000  target   384           # 0
    19:  111001010  exec     458           # ldrc
    20:  000000000  constant 0             # 0
    21:  101001111  source   335           # 15
    22:  110000000  target   384           # 0
    23:  111001110  exec     462           # not
    24:  000000001  constant 1             # 1
    25:  101001111  source   335           # 15
    26:  110000000  target   384           # 0
    27:  111010010  exec     466           # strd
    28:  000000101  constant 5             # 5
    29:  101001110  source   334           # 14
    30:  110000000  target   384           # 0
    31:  111001010  exec     458           # ldrc
    32:  000001001  constant 9             # 9
    33:  101001111  source   335           # 15
    34:  110000000  target   384           # 0
    35:  111001010  exec     458           # ldrc
    36:  000000000  constant 0             # 0
    37:  101001111  source   335           # 15
    38:  110001110  target   398           # 14
    39:  111000001  exec     449           # and
    40:  000000010  constant 2             # 2
    41:  101001110  source   334           # 14
    42:  110000000  target   384           # 0
    43:  111010010  exec     466           # strd
    44:  000000101  constant 5             # 5
    45:  101001110  source   334           # 14
    46:  110000000  target   384           # 0
    47:  111001010  exec     458           # ldrc
    48:  000001001  constant 9             # 9
    49:  101001111  source   335           # 15
    50:  110000000  target   384           # 0
    51:  111001010  exec     458           # ldrc
    52:  000000000  constant 0             # 0
    53:  101001111  source   335           # 15
    54:  110001110  target   398           # 14
    55:  111001111  exec     463           # or
    56:  000000011  constant 3             # 3
    57:  101001110  source   334           # 14
    58:  110000000  target   384           # 0
    59:  111010010  exec     466           # strd
    60:  000010101  constant 21            # 21
    61:  101000010  source   322           # 2
    62:  110000000  target   384           # 0
    63:  111001010  exec     458           # ldrc
    64:  000000000  constant 0             # 0
    65:  101000010  source   322           # 2
    66:  110000000  target   384           # 0
    67:  111000110  exec     454           # inc
    68:  000000100  constant 4             # 4
    69:  101000010  source   322           # 2
    70:  110000000  target   384           # 0
    71:  111010010  exec     466           # strd
    72:  000000000  constant 0             # 0
    73:  101000010  source   322           # 2
    74:  110000011  target   387           # 3
    75:  111001101  exec     461           # ldrr
    76:  000000000  constant 0             # 0
    77:  101000011  source   323           # 3
    78:  110000000  target   384           # 0
    79:  111000101  exec     453           # dec
    80:  000000101  constant 5             # 5
    81:  101000011  source   323           # 3
    82:  110000000  target   384           # 0
    83:  111010010  exec     466           # strd
    84:  000000011  constant 3             # 3
    85:  101000010  source   322           # 2
    86:  110000000  target   384           # 0
    87:  111001010  exec     458           # ldrc
    88:  000000001  constant 1             # 1
    89:  101000010  source   322           # 2
    90:  110000000  target   384           # 0
    91:  111010000  exec     464           # sl
    92:  000000110  constant 6             # 6
    93:  101000010  source   322           # 2
    94:  110000000  target   384           # 0
    95:  111010010  exec     466           # strd
    96:  000000011  constant 3             # 3
    97:  101000010  source   322           # 2
    98:  110000000  target   384           # 0
    99:  111001010  exec     458           # ldrc
   100:  000000010  constant 2             # 2
   101:  101000010  source   322           # 2
   102:  110000000  target   384           # 0
   103:  111010000  exec     464           # sl
   104:  000000111  constant 7             # 7
   105:  101000010  source   322           # 2
   106:  110000000  target   384           # 0
   107:  111010010  exec     466           # strd
   108:  000010100  constant 20            # 20
   109:  101000100  source   324           # 4
   110:  110000000  target   384           # 0
   111:  111001010  exec     458           # ldrc
   112:  000001001  constant 9             # 9
   113:  101000101  source   325           # 5
   114:  110000000  target   384           # 0
   115:  111001010  exec     458           # ldrc
   116:  000000000  constant 0             # 0
   117:  101000101  source   325           # 5
   118:  110000100  target   388           # 4
   119:  111010100  exec     468           # sub
   120:  000001000  constant 8             # 8
   121:  101000100  source   324           # 4
   122:  110000000  target   384           # 0
   123:  111010010  exec     466           # strd
   124:  000001001  constant 9             # 9
   125:  101000001  source   321           # 1
   126:  110000000  target   384           # 0
   127:  111001010  exec     458           # ldrc
   128:  001100011  constant 99            # 99
   129:  101000010  source   322           # 2
   130:  110000000  target   384           # 0
   131:  111001010  exec     458           # ldrc
   132:  000000000  constant 0             # 0
   133:  101000001  source   321           # 1
   134:  110000010  target   386           # 2
   135:  111010011  exec     467           # stri
   136:  000000000  constant 0             # 0
   137:  101000000  source   320           # 0
   138:  110000000  target   384           # 0
   139:  111010110  exec     470           # stop
